ComponentId,Layer,Type,Latitude,Longitude,Value1,Value2
0,Isobaths,Isobath_shell,0.527957918,103.271246266,0.75,0.75
0,Isobaths,Isobath_shell,0.527961009,103.271228298,0.75,0.75
0,Isobaths,Isobath_shell,0.527959121,103.271210331,0.75,0.75
0,Isobaths,Isobath_shell,0.527964582,103.271198833,0.75,0.75
0,Isobaths,Isobath_shell,0.527982669,103.271198833,0.75,0.75
0,Isobaths,Isobath_shell,0.528000757,103.271210331,0.75,0.75
0,Isobaths,Isobath_shell,0.528018844,103.271228298,0.75,0.75
0,Isobaths,Isobath_shell,0.528018844,103.271264233,0.75,0.75
0,Isobaths,Isobath_shell,0.528036931,103.2712822,0.75,0.75
0,Isobaths,Isobath_shell,0.528036931,103.271318134,0.75,0.75
0,Isobaths,Isobath_shell,0.528055019,103.271336101,0.75,0.75
0,Isobaths,Isobath_shell,0.528055019,103.271372035,0.75,0.75
0,Isobaths,Isobath_shell,0.528073106,103.271390002,0.75,0.75
0,Isobaths,Isobath_shell,0.528073106,103.271425936,0.75,0.75
0,Isobaths,Isobath_shell,0.528091194,103.271443903,0.75,0.75
0,Isobaths,Isobath_shell,0.528091194,103.271497804,0.75,0.75
0,Isobaths,Isobath_shell,0.528109281,103.271515772,0.75,0.75
0,Isobaths,Isobath_shell,0.528109281,103.27158764,0.75,0.75
0,Isobaths,Isobath_shell,0.528127368,103.271605607,0.75,0.75
0,Isobaths,Isobath_shell,0.528127368,103.271659508,0.75,0.75
0,Isobaths,Isobath_shell,0.528145456,103.271677475,0.75,0.75
0,Isobaths,Isobath_shell,0.528145456,103.271749343,0.75,0.75
0,Isobaths,Isobath_shell,0.528163543,103.27176731,0.75,0.75
0,Isobaths,Isobath_shell,0.528163543,103.271821212,0.75,0.75
0,Isobaths,Isobath_shell,0.52818163,103.271839179,0.75,0.75
0,Isobaths,Isobath_shell,0.52818163,103.27189308,0.75,0.75
0,Isobaths,Isobath_shell,0.528199718,103.271911047,0.75,0.75
0,Isobaths,Isobath_shell,0.528199718,103.272000882,0.75,0.75
0,Isobaths,Isobath_shell,0.528217805,103.272018849,0.75,0.75
0,Isobaths,Isobath_shell,0.528217805,103.272108685,0.75,0.75
0,Isobaths,Isobath_shell,0.528235892,103.272126652,0.75,0.75
0,Isobaths,Isobath_shell,0.528235892,103.272216487,0.75,0.75
0,Isobaths,Isobath_shell,0.52825398,103.272234454,0.75,0.75
0,Isobaths,Isobath_shell,0.52825398,103.272306322,0.75,0.75
0,Isobaths,Isobath_shell,0.528272067,103.272324289,0.75,0.75
0,Isobaths,Isobath_shell,0.528272067,103.272378191,0.75,0.75
0,Isobaths,Isobath_shell,0.52825398,103.272378191,0.75,0.75
0,Isobaths,Isobath_shell,0.528235892,103.272381613,0.75,0.75
0,Isobaths,Isobath_shell,0.528217805,103.272381613,0.75,0.75
0,Isobaths,Isobath_shell,0.528156308,103.272342257,0.75,0.75
0,Isobaths,Isobath_shell,0.528109281,103.272277875,0.75,0.75
0,Isobaths,Isobath_shell,0.528035287,103.272090718,0.75,0.75
0,Isobaths,Isobath_shell,0.528032154,103.272072751,0.75,0.75
0,Isobaths,Isobath_shell,0.5280316,103.272054783,0.75,0.75
0,Isobaths,Isobath_shell,0.528036931,103.272013321,0.75,0.75
0,Isobaths,Isobath_shell,0.528047852,103.271964948,0.75,0.75
0,Isobaths,Isobath_shell,0.528050341,103.271929014,0.75,0.75
0,Isobaths,Isobath_shell,0.528065268,103.271911047,0.75,0.75
0,Isobaths,Isobath_shell,0.528068019,103.27189308,0.75,0.75
0,Isobaths,Isobath_shell,0.528069269,103.271857146,0.75,0.75
0,Isobaths,Isobath_shell,0.528063058,103.271821212,0.75,0.75
0,Isobaths,Isobath_shell,0.528069941,103.271803245,0.75,0.75
0,Isobaths,Isobath_shell,0.52806217,103.271749343,0.75,0.75
0,Isobaths,Isobath_shell,0.528069258,103.271731376,0.75,0.75
0,Isobaths,Isobath_shell,0.528066831,103.271695442,0.75,0.75
0,Isobaths,Isobath_shell,0.528063878,103.271677475,0.75,0.75
0,Isobaths,Isobath_shell,0.52806867,103.271659508,0.75,0.75
0,Isobaths,Isobath_shell,0.528050664,103.27158764,0.75,0.75
0,Isobaths,Isobath_shell,0.528053432,103.271569673,0.75,0.75
0,Isobaths,Isobath_shell,0.528034347,103.271515772,0.75,0.75
0,Isobaths,Isobath_shell,0.528034436,103.271497804,0.75,0.75
0,Isobaths,Isobath_shell,0.528000455,103.271425936,0.75,0.75
0,Isobaths,Isobath_shell,0.527999087,103.271407969,0.75,0.75
0,Isobaths,Isobath_shell,0.52797754,103.271354068,0.75,0.75
0,Isobaths,Isobath_shell,0.527980122,103.271336101,0.75,0.75
0,Isobaths,Isobath_shell,0.527967424,103.271300167,0.75,0.75
0,Isobaths,Isobath_shell,0.527970204,103.2712822,0.75,0.75
1,Isobaths,Isobath_shell,0.527781367,103.270797089,1.25,1.25
1,Isobaths,Isobath_shell,0.527784076,103.270743188,1.25,1.25
1,Isobaths,Isobath_shell,0.5277917,103.270725221,1.25,1.25
1,Isobaths,Isobath_shell,0.527795013,103.270707254,1.25,1.25
1,Isobaths,Isobath_shell,0.527819883,103.270702462,1.25,1.25
1,Isobaths,Isobath_shell,0.52783797,103.270707254,1.25,1.25
1,Isobaths,Isobath_shell,0.527856058,103.270725221,1.25,1.25
1,Isobaths,Isobath_shell,0.527856058,103.270761155,1.25,1.25
1,Isobaths,Isobath_shell,0.527874144,103.270779122,1.25,1.25
1,Isobaths,Isobath_shell,0.527874144,103.270815056,1.25,1.25
1,Isobaths,Isobath_shell,0.527892232,103.270833023,1.25,1.25
1,Isobaths,Isobath_shell,0.527892232,103.270868957,1.25,1.25
1,Isobaths,Isobath_shell,0.52791032,103.270886924,1.25,1.25
